,Player,Hall_of_Fame,Awards,All_Star,Championships,All_Nbas
537,Ben Warley,FALSE,0,1,0,0
538,Ralph Wells,FALSE,0,0,0,0
539,Hubie White,FALSE,0,0,0,0
540,Gene Wiley,FALSE,0,0,0,0
541,Jay Arnette,FALSE,0,0,0,0
542,Larry Comley,FALSE,0,0,0,0
543,Mel Gibson,FALSE,0,0,0,0
544,Jerry Greenspan,FALSE,0,0,0,0
545,Reggie Harding,FALSE,0,0,0,0
546,Jerry Harkness,FALSE,0,0,0,0
547,Art Heyman,FALSE,0,1,1,1
548,Gary Hill,FALSE,0,0,0,0
549,Tom Hoover,FALSE,0,0,0,0
550,Jim King,FALSE,0,1,0,0
551,Don Kojis,FALSE,0,1,0,0
552,Eddie Miles,FALSE,0,1,0,0
553,Mel Peterson,FALSE,0,0,1,0
554,Ken Rohloff,FALSE,0,0,0,0
555,Larry Siegfried,FALSE,0,0,1,0
556,Roger Strickland,FALSE,0,0,0,0
557,Tom Thacker,FALSE,0,0,1,0
558,Rod Thorn,TRUE,0,0,0,1
559,Gerry Ward,FALSE,0,0,0,0
560,John Windsor,FALSE,0,0,0,0
561,Jim Barnes,FALSE,0,0,1,1
562,Ron Bonham,FALSE,0,0,2,0
563,Gary Bradds,FALSE,0,0,1,0
564,Em Bryant,FALSE,0,0,1,0
565,Joe Caldwell,FALSE,0,1,0,1
566,Mel Counts,FALSE,0,0,1,0
567,Steve Courtin,FALSE,0,0,0,0
568,Jerry Grote,FALSE,0,0,0,0
569,Happy Hairston,FALSE,0,0,1,0
570,Les Hunter,FALSE,0,1,0,0
571,Luke Jackson,FALSE,1,1,1,1
572,Luke Jackson,FALSE,1,1,1,1
573,Larry Jones,FALSE,0,1,0,1
574,Wali Jones,FALSE,0,0,1,1
575,Howard Komives,FALSE,0,0,0,1
576,Bud Koper,FALSE,0,0,0,0
577,Barry Kramer,FALSE,0,0,0,0
578,McCoy McLemore,FALSE,0,0,1,0
579,Jeff Mullins,FALSE,0,1,1,0
580,Cotton Nash,FALSE,0,0,0,0
581,Paul Silas,FALSE,0,1,1,1
582,John Tresvant,FALSE,0,0,0,0
583,George Wilson,FALSE,0,0,0,0
584,Jesse Branson,FALSE,0,0,0,0
585,Bill Buntin,FALSE,0,0,0,0
586,Barry Clemens,FALSE,0,0,0,0
587,Keith Erickson,FALSE,0,0,1,0
588,John Fairchild,FALSE,0,0,0,0
589,Will Frazier,FALSE,0,0,0,0
590,Fred Hetzel,FALSE,0,0,0,1
591,Jon McGlocklin,FALSE,0,1,1,0
592,Thales McReynolds,FALSE,0,0,0,0
593,Ron Reed,FALSE,0,0,0,0
594,Willie Somerset,FALSE,0,1,0,0
595,Dave Stallworth,FALSE,0,0,1,0
596,Joe Strawder,FALSE,0,0,0,0
597,Bob Warlick,FALSE,0,0,0,0
598,Jim Washington,FALSE,0,0,0,0
599,Ron Watts,FALSE,0,0,0,0
600,Bob Weiss,FALSE,0,0,1,0
